species	sepal_length	sepal_width	petal_lenength	petal_width
setosa1	5.1	3.5	1.4	0.2
setosa2	4.9	3	1.4	0.2
setosa3	4.7	3.2	1.3	0.2
setosa4	4.6	3.1	1.5	0.2
setosa5	5	3.6	1.4	0.2
setosa6	5.4	3.9	1.7	0.4
setosa7	4.6	3.4	1.4	0.3
setosa8	5	3.4	1.5	0.2
setosa9	4.4	2.9	1.4	0.2
setosa10	4.9	3.1	1.5	0.1
setosa11	5.4	3.7	1.5	0.2
setosa12	4.8	3.4	1.6	0.2
setosa13	4.8	3	1.4	0.1
setosa14	4.3	3	1.1	0.1
setosa15	5.8	4	1.2	0.2
setosa16	5.7	4.4	1.5	0.4
setosa17	5.4	3.9	1.3	0.4
setosa18	5.1	3.5	1.4	0.3
setosa19	5.7	3.8	1.7	0.3
setosa20	5.1	3.8	1.5	0.3
setosa21	5.4	3.4	1.7	0.2
setosa22	5.1	3.7	1.5	0.4
setosa23	4.6	3.6	1	0.2
setosa24	5.1	3.3	1.7	0.5
setosa25	4.8	3.4	1.9	0.2
setosa26	5	3	1.6	0.2
setosa27	5	3.4	1.6	0.4
setosa28	5.2	3.5	1.5	0.2
setosa29	5.2	3.4	1.4	0.2
setosa30	4.7	3.2	1.6	0.2
setosa31	4.8	3.1	1.6	0.2
setosa32	5.4	3.4	1.5	0.4
setosa33	5.2	4.1	1.5	0.1
setosa34	5.5	4.2	1.4	0.2
setosa35	4.9	3.1	1.5	0.2
setosa36	5	3.2	1.2	0.2
setosa37	5.5	3.5	1.3	0.2
setosa38	4.9	3.6	1.4	0.1
setosa39	4.4	3	1.3	0.2
setosa40	5.1	3.4	1.5	0.2
setosa41	5	3.5	1.3	0.3
setosa42	4.5	2.3	1.3	0.3
setosa43	4.4	3.2	1.3	0.2
setosa44	5	3.5	1.6	0.6
setosa45	5.1	3.8	1.9	0.4
setosa46	4.8	3	1.4	0.3
setosa47	5.1	3.8	1.6	0.2
setosa48	4.6	3.2	1.4	0.2
setosa49	5.3	3.7	1.5	0.2
setosa50	5	3.3	1.4	0.2
versicol1	7	3.2	4.7	1.4
versicol2	6.4	3.2	4.5	1.5
versicol3	6.9	3.1	4.9	1.5
versicol4	5.5	2.3	4	1.3
versicol5	6.5	2.8	4.6	1.5
versicol6	5.7	2.8	4.5	1.3
versicol7	6.3	3.3	4.7	1.6
versicol8	4.9	2.4	3.3	1
versicol9	6.6	2.9	4.6	1.3
versicol10	5.2	2.7	3.9	1.4
versicol11	5	2	3.5	1
versicol12	5.9	3	4.2	1.5
versicol13	6	2.2	4	1
versicol14	6.1	2.9	4.7	1.4
versicol15	5.6	2.9	3.6	1.3
versicol16	6.7	3.1	4.4	1.4
versicol17	5.6	3	4.5	1.5
versicol18	5.8	2.7	4.1	1
versicol19	6.2	2.2	4.5	1.5
versicol20	5.6	2.5	3.9	1.1
versicol21	5.9	3.2	4.8	1.8
versicol22	6.1	2.8	4	1.3
versicol23	6.3	2.5	4.9	1.5
versicol24	6.1	2.8	4.7	1.2
versicol25	6.4	2.9	4.3	1.3
versicol26	6.6	3	4.4	1.4
versicol27	6.8	2.8	4.8	1.4
versicol28	6.7	3	5	1.7
versicol29	6	2.9	4.5	1.5
versicol30	5.7	2.6	3.5	1
versicol31	5.5	2.4	3.8	1.1
versicol32	5.5	2.4	3.7	1
versicol33	5.8	2.7	3.9	1.2
versicol34	6	2.7	5.1	1.6
versicol35	5.4	3	4.5	1.5
versicol36	6	3.4	4.5	1.6
versicol37	6.7	3.1	4.7	1.5
versicol38	6.3	2.3	4.4	1.3
versicol39	5.6	3	4.1	1.3
versicol40	5.5	2.5	4	1.3
versicol41	5.5	2.6	4.4	1.2
versicol42	6.1	3	4.6	1.4
versicol43	5.8	2.6	4	1.2
versicol44	5	2.3	3.3	1
versicol45	5.6	2.7	4.2	1.3
versicol46	5.7	3	4.2	1.2
versicol47	5.7	2.9	4.2	1.3
versicol48	6.2	2.9	4.3	1.3
versicol49	5.1	2.5	3	1.1
versicol50	5.7	2.8	4.1	1.3
virginic1	6.3	3.3	6	2.5
virginic2	5.8	2.7	5.1	1.9
virginic3	7.1	3	5.9	2.1
virginic4	6.3	2.9	5.6	1.8
virginic5	6.5	3	5.8	2.2
virginic6	7.6	3	6.6	2.1
virginic7	4.9	2.5	4.5	1.7
virginic8	7.3	2.9	6.3	1.8
virginic9	6.7	2.5	5.8	1.8
virginic10	7.2	3.6	6.1	2.5
virginic11	6.5	3.2	5.1	2
virginic12	6.4	2.7	5.3	1.9
virginic13	6.8	3	5.5	2.1
virginic14	5.7	2.5	5	2
virginic15	5.8	2.8	5.1	2.4
virginic16	6.4	3.2	5.3	2.3
virginic17	6.5	3	5.5	1.8
virginic18	7.7	3.8	6.7	2.2
virginic19	7.7	2.6	6.9	2.3
virginic20	6	2.2	5	1.5
virginic21	6.9	3.2	5.7	2.3
virginic22	5.6	2.8	4.9	2
virginic23	7.7	2.8	6.7	2
virginic24	6.3	2.7	4.9	1.8
virginic25	6.7	3.3	5.7	2.1
virginic26	7.2	3.2	6	1.8
virginic27	6.2	2.8	4.8	1.8
virginic28	6.1	3	4.9	1.8
virginic29	6.4	2.8	5.6	2.1
virginic30	7.2	3	5.8	1.6
virginic31	7.4	2.8	6.1	1.9
virginic32	7.9	3.8	6.4	2
virginic33	6.4	2.8	5.6	2.2
virginic34	6.3	2.8	5.1	1.5
virginic35	6.1	2.6	5.6	1.4
virginic36	7.7	3	6.1	2.3
virginic37	6.3	3.4	5.6	2.4
virginic38	6.4	3.1	5.5	1.8
virginic39	6	3	4.8	1.8
virginic40	6.9	3.1	5.4	2.1
virginic41	6.7	3.1	5.6	2.4
virginic42	6.9	3.1	5.1	2.3
virginic43	5.8	2.7	5.1	1.9
virginic44	6.8	3.2	5.9	2.3
virginic45	6.7	3.3	5.7	2.5
virginic46	6.7	3	5.2	2.3
virginic47	6.3	2.5	5	1.9
virginic48	6.5	3	5.2	2
virginic49	6.2	3.4	5.4	2.3
virginic50	5.9	3	5.1	1.8
